Year,Version,Category_Name,SubCategory_Name,Project_Code,Project_Name,Funding_Source,Total,Thru FY23,Est FY24,Total6,FY 25,FY 26,FY 27,FY 28,FY 29,FY 30,Beyond
2025,Approved,Public Safety,Fire/Rescue Service,P450700,FS Emergency Power System Upgrade,G.O. Bonds,7239,7166,73,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P450702,Glen Echo Fire Station Renovation,G.O. Bonds,202,0,202,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P451502,White Flint Fire Station 23,G.O. Bonds,41878,3631,2010,36237,2738,1744,17962,13472,321,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P451504,Apparatus Replacement Program,Current Revenue: Fire,94787,16102,16888,61797,6891,8372,9308,10134,12618,14474,0
2025,Approved,Public Safety,Fire/Rescue Service,P451504,Apparatus Replacement Program,Short-Term Financing,58103,42061,8664,7378,1723,2093,1034,1126,1402,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P458429,Resurfacing: Fire Stations,G.O. Bonds,5865,2511,918,2436,406,406,406,406,406,406,0
2025,Approved,Public Safety,Fire/Rescue Service,P458629,Roof Replacement: Fire Stations,G.O. Bonds,6845,3466,919,2460,410,410,410,410,410,410,0
2025,Approved,Public Safety,Fire/Rescue Service,P458756,HVAC/Elec Replacement: Fire Stns,G.O. Bonds,26374,10638,3136,12600,4350,1650,1650,1650,1650,1650,0
2025,Approved,Public Safety,Police,P470301,6th District Police Station,G.O. Bonds,28848,4266,9893,14689,14249,440,0,0,0,0,0
2025,Approved,Public Safety,Police,P470301,6th District Police Station,G.O. Bond Premium,9000,0,9000,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500112,Advance Reforestation,G.O. Bonds,1109,1071,38,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P500119,Bethesda Bikeway and Pedestrian Facilities,G.O. Bonds,12076,7854,3857,365,365,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P500119,Bethesda Bikeway and Pedestrian Facilities,Developer Payments,372,10,362,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P500152,Facilities Site Selection: MCG,Current Revenue: General,825,433,242,150,25,25,25,25,25,25,0
2025,Approved,Transportation,Bridges,P500313,Bridge Preservation Program,Federal Aid,366,366,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Bridges,P500313,Bridge Preservation Program,G.O. Bonds,14793,9301,2156,3336,556,556,556,556,556,556,0
2025,Approved,Transportation,Bridges,P500313,Bridge Preservation Program,Intergovernmental,40,40,0,0,0,0,0,0,0,0,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P500320,Storm Drain General,G.O. Bonds,9169,9169,0,0,0,0,0,0,0,0,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P500320,Storm Drain General,Intergovernmental,122,122,0,0,0,0,0,0,0,0,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P500320,Storm Drain General,State Aid,162,162,0,0,0,0,0,0,0,0,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P500320,Storm Drain General,Water Quality Protection Bonds,15207,2434,2148,10625,0,1725,2225,2225,2225,2225,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P500320,Storm Drain General,Current Revenue: Water Quality Protection,7024,2538,1826,2660,2160,500,0,0,0,0,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P500320,Storm Drain General,Long-Term Financing,2015,2012,3,0,0,0,0,0,0,0,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P500320,Storm Drain General,Stormwater Management Waiver Fees,101,101,0,0,0,0,0,0,0,0,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P500320,Storm Drain General,Federal Aid,2275,518,1757,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500333,Pedestrian Safety Program,Current Revenue: General,14866,7921,1845,5100,850,850,850,850,850,850,0
2025,Approved,Transportation,Traffic Improvements,P500333,Pedestrian Safety Program,G.O. Bonds,43788,15607,4848,23333,4146,4350,4270,3394,3521,3652,0
2025,Approved,Transportation,Traffic Improvements,P500333,Pedestrian Safety Program,PAYGO,2782,2782,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500333,Pedestrian Safety Program,State Aid,820,820,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500333,Pedestrian Safety Program,Recordation Tax Premium (MCG),2209,2209,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500333,Pedestrian Safety Program,G.O. Bond Premium,650,650,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500338,Highway Noise Abatement,G.O. Bonds,2885,2867,18,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500338,Highway Noise Abatement,Current Revenue: General,40,0,10,30,5,5,5,5,5,5,0
2025,Approved,Transportation,Roads,P500500,Burtonsville Access Road,G.O. Bonds,9393,1100,1809,6484,6484,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500500,Burtonsville Access Road,Intergovernmental,88,48,0,40,40,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500500,Burtonsville Access Road,Impact Tax,0,255,-255,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500511,Resurfacing: Residential/Rural Roads,Current Revenue: General,1865,1865,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500511,Resurfacing: Residential/Rural Roads,G.O. Bonds,231720,154797,7643,69280,9880,11880,11880,11880,11880,11880,0
2025,Approved,Transportation,Highway Maintenance,P500511,Resurfacing: Residential/Rural Roads,PAYGO,8660,8660,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500511,Resurfacing: Residential/Rural Roads,Recordation Tax Premium (MCG),2912,2912,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500511,Resurfacing: Residential/Rural Roads,G.O. Bond Premium,9000,9000,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500511,Resurfacing: Residential/Rural Roads,Land Sale,11000,4349,6651,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500512,Streetlight Enhancements-CBD/Town Center,G.O. Bonds,6115,4052,443,1620,270,270,270,270,270,270,0
2025,Approved,Transportation,Traffic Improvements,P500512,Streetlight Enhancements-CBD/Town Center,Current Revenue: Urban District Bethesda,435,435,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500534,Transit Park and Ride Lot Renovations,G.O. Bonds,3039,2973,66,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500700,Street Tree Preservation,Current Revenue: General,53520,30181,3251,20088,3348,3348,3348,3348,3348,3348,0
2025,Approved,Transportation,Highway Maintenance,P500700,Street Tree Preservation,Land Sale,458,458,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500700,Street Tree Preservation,Recordation Tax Premium (MCG),9810,9810,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500704,Traffic Signal System Modernization,Contributions,295,295,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500704,Traffic Signal System Modernization,Current Revenue: General,14658,5054,1570,8034,1339,1339,1339,1339,1339,1339,0
2025,Approved,Transportation,Traffic Improvements,P500704,Traffic Signal System Modernization,G.O. Bonds,15680,15680,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500704,Traffic Signal System Modernization,Recordation Tax Premium (MCG),10715,10715,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500704,Traffic Signal System Modernization,State Aid,12000,12000,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P500704,Traffic Signal System Modernization,G.O. Bond Premium,852,852,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P500718,MacArthur Blvd Bikeway Improvements,G.O. Bonds,20270,8856,1733,9681,3653,6028,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P500718,MacArthur Blvd Bikeway Improvements,Impact Tax,938,938,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500720,Resurfacing Park Roads and Bridge Improvements,G.O. Bonds,13968,8779,1481,3708,618,618,618,618,618,618,0
2025,Approved,Transportation,Roads,P500722,State Transportation Participation,Contributions,2575,175,2400,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500722,State Transportation Participation,G.O. Bonds,7683,5583,2100,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500722,State Transportation Participation,Impact Tax,2179,2179,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500722,State Transportation Participation,Revenue Bonds: Liquor Fund,53350,53350,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500722,State Transportation Participation,State Aid,16463,16121,342,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500724,Watkins Mill Road Extended,G.O. Bonds,69,68,1,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500724,Watkins Mill Road Extended,Impact Tax,5006,4689,317,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P500724,Watkins Mill Road Extended,Intergovernmental,1000,93,907,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P500727,Red Brick Courthouse Structural Repairs,G.O. Bonds,8577,631,599,2900,0,0,0,0,1700,1200,4447
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,Contributions,820,430,390,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,Fed Stimulus (State Allocation),6550,6550,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,Federal Aid,58280,42200,6480,9600,1600,1600,1600,1600,1600,1600,0
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,Impact Tax,2350,2350,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,Current Revenue: Mass Transit,275826,47272,59544,169010,13175,19700,36235,36100,27700,36100,0
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,Short-Term Financing,149578,81261,3255,65062,0,0,31478,8832,0,24752,0
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,State Aid,20795,10340,8055,2400,400,400,400,400,400,400,0
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,G.O. Bonds,956,956,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,G.O. Bond Premium,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500821,Ride On Bus Fleet,Current Revenue: Motor Pool,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P500905,Falls Road Bikeway and Pedestrian Facility,G.O. Bonds,410,0,54,356,356,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P500905,Falls Road Bikeway and Pedestrian Facility,Federal Aid,0,2,-2,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P500905,Falls Road Bikeway and Pedestrian Facility,Impact Tax,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P500905,Falls Road Bikeway and Pedestrian Facility,Intergovernmental,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500914,Residential and Rural Road Rehabilitation,G.O. Bonds,124707,73701,2748,48258,6428,8760,6790,8760,8760,8760,0
2025,Approved,Transportation,Highway Maintenance,P500914,Residential and Rural Road Rehabilitation,Recordation Tax Premium (MCG),14080,14080,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P500914,Residential and Rural Road Rehabilitation,Land Sale,10070,0,5768,4302,2332,0,1970,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P500918,Environmental Compliance: MCG,G.O. Bonds,29973,19673,1900,8400,1400,1400,1400,1400,1400,1400,0
2025,Approved,General Government,County Offices and Other Improvements,P500918,Environmental Compliance: MCG,Current Revenue: Water Quality Protection,130,100,30,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500929,Bethesda Metro Station South Entrance,G.O. Bonds,115350,32182,68505,14663,1262,2161,3940,7300,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500929,Bethesda Metro Station South Entrance,Revenue Bonds: Liquor Fund,12992,12992,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500929,Bethesda Metro Station South Entrance,Federal Aid,2000,0,2000,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500929,Bethesda Metro Station South Entrance,PAYGO,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P500929,Bethesda Metro Station South Entrance,Impact Tax,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P501106,Permanent Patching: Residential/Rural Roads,G.O. Bonds,68042,44250,3350,20442,3407,3407,3407,3407,3407,3407,0
2025,Approved,Transportation,Highway Maintenance,P501106,Permanent Patching: Residential/Rural Roads,State Aid,992,992,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Highway Maintenance,P501106,Permanent Patching: Residential/Rural Roads,G.O. Bond Premium,1000,1000,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501107,Goshen Road South,G.O. Bonds,8268,3268,410,4590,0,0,0,0,0,4590,0
2025,Approved,Transportation,Roads,P501107,Goshen Road South,Impact Tax,4430,4430,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501109,Snouffer School Road,G.O. Bonds,8772,7217,1555,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501109,Snouffer School Road,Impact Tax,16483,16483,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501109,Snouffer School Road,Intergovernmental,1505,1505,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501110,Metropolitan Branch Trail,Impact Tax,3112,2857,255,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501110,Metropolitan Branch Trail,G.O. Bonds,17550,3360,3768,10422,5578,4844,0,0,0,0,0
2025,Approved,Transportation,Parking,P501111,Silver Spring Lot 3 Parking Garage,Current Revenue: Parking - Silver Spring,1,0,1,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501116,White Flint District West: Transportation,White Flint Special Tax District,71095,5911,0,0,0,0,0,0,0,0,65184
2025,Approved,Transportation,Roads,P501117,Dedicated but Unmaintained County Roads,G.O. Bonds,722,722,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501117,Dedicated but Unmaintained County Roads,Current Revenue: General,40,0,10,30,5,5,5,5,5,5,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501118,Frederick Road Bike Path,G.O. Bonds,7402,6936,466,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501119,Snouffer School Road North (Webb Tract),G.O. Bonds,9053,8636,417,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501119,Snouffer School Road North (Webb Tract),Impact Tax,5120,5120,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501119,Snouffer School Road North (Webb Tract),Intergovernmental,874,879,-5,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P501202,White Flint Traffic Analysis and Mitigation,Current Revenue: General,1372,775,111,486,81,81,81,81,81,81,0
2025,Approved,Transportation,Traffic Improvements,P501202,White Flint Traffic Analysis and Mitigation,Impact Tax,685,685,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501204,White Flint District East: Transportation,White Flint Special Tax District,29690,757,19,0,0,0,0,0,0,0,28914
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501209,MD 355 Crossing (BRAC),Federal Aid,104174,104174,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501209,MD 355 Crossing (BRAC),State Aid,4806,4300,506,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501302,Gold Mine Road Bridge M-0096,Federal Aid,3500,3500,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501302,Gold Mine Road Bridge M-0096,G.O. Bonds,2967,1876,1091,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501303,Seven Locks Bikeway and Safety Improvements,G.O. Bonds,26760,0,0,0,0,0,0,0,0,0,26760
2025,Approved,Transportation,Roads,P501307,Seminary Road Intersection Improvement,G.O. Bonds,4407,4407,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501307,Seminary Road Intersection Improvement,Intergovernmental,36,25,11,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501307,Seminary Road Intersection Improvement,Impact Tax,2697,2697,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501309,East Gude Drive Roadway Improvements,G.O. Bonds,2125,1450,675,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501309,East Gude Drive Roadway Improvements,Impact Tax,3902,3902,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Parking,P501312,Facility Planning Parking: Wheaton Parking Lot District,Current Revenue: Parking - Wheaton,810,188,244,378,20,58,45,165,45,45,0
2025,Approved,Transportation,Parking,P501313,Facility Planning Parking: Bethesda Parking Lot District,Current Revenue: Parking - Bethesda,1620,685,345,590,130,100,90,90,90,90,0
2025,Approved,Transportation,Parking,P501314,Facility Planning Parking: Silver Spring Parking Lot District,Current Revenue: Parking - Silver Spring,1620,663,238,719,204,155,90,90,90,90,0
2025,Approved,Transportation,Roads,P501315,Clarksburg Transportation Connections,G.O. Bonds,2999,2690,309,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501315,Clarksburg Transportation Connections,Impact Tax,7001,6710,291,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501315,Clarksburg Transportation Connections,Intergovernmental,600,600,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501316,Capital Crescent Trail,G.O. Bonds,35871,16923,16143,2805,825,1040,940,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501316,Capital Crescent Trail,Impact Tax,27292,21703,5589,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501316,Capital Crescent Trail,Recordation Tax Premium (MCG),1174,0,1174,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501317,County Service Park Infrastructure Improvements,Current Revenue: General,1489,1458,31,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501318,Bus Rapid Transit: System Development,State Aid,5999,616,5383,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501318,Bus Rapid Transit: System Development,Recordation Tax Premium (MCG),2000,2000,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501318,Bus Rapid Transit: System Development,Federal Aid,500,500,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501318,Bus Rapid Transit: System Development,G.O. Bonds,6321,6321,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501318,Bus Rapid Transit: System Development,Impact Tax,2500,2500,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501318,Bus Rapid Transit: System Development,Current Revenue: Mass Transit,12375,7122,2253,3000,500,500,500,500,500,500,0
2025,Approved,Transportation,Mass Transit (MCG),P501318,Bus Rapid Transit: System Development,Revenue Bonds: Liquor Fund,3179,3179,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501404,MCG Reconciliation PDF,Current Revenue: General,409,0,409,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501404,MCG Reconciliation PDF,G.O. Bonds,-270260,0,-37371,-232889,-36350,-31381,-38846,-40523,-42243,-43546,0
2025,Approved,Transportation,Roads,P501404,MCG Reconciliation PDF,Impact Tax,118067,0,21200,96867,25867,14200,14200,14200,14200,14200,0
2025,Approved,Transportation,Roads,P501404,MCG Reconciliation PDF,Recordation Tax Premium (MCG),151784,0,15762,136022,10483,17181,24646,26323,28043,29346,0
2025,Approved,Transportation,Roads,P501405,Maryland/Dawson Extended,Impact Tax,2760,473,2287,0,0,0,0,0,0,0,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P501470,Storm Drain Culvert Replacement,G.O. Bonds,1500,1500,0,0,0,0,0,0,0,0,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P501470,Storm Drain Culvert Replacement,Water Quality Protection Bonds,17155,7342,2058,7755,0,191,1891,1891,1891,1891,0
2025,Approved,Conservation of Natural Resources,Storm Drains,P501470,Storm Drain Culvert Replacement,Current Revenue: Water Quality Protection,12536,9000,0,3536,1836,1700,0,0,0,0,0
2025,Approved,Transportation,Roads,P501506,White Flint West Workaround,White Flint Special Tax District,56353,52469,3884,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501506,White Flint West Workaround,Intergovernmental,2500,2500,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501506,White Flint West Workaround,Contributions,261,261,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501506,White Flint West Workaround,G.O. Bond Premium,15000,15000,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Roads,P501507,Observation Drive Extended,G.O. Bonds,102831,1,939,3213,0,1833,859,521,0,0,98678
2025,Approved,Transportation,Roads,P501507,Observation Drive Extended,Impact Tax,636,636,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501522,Piney Meetinghouse Road Bridge,Federal Aid,2807,2289,518,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501522,Piney Meetinghouse Road Bridge,G.O. Bonds,948,915,33,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501523,Park Valley Road Bridge,Federal Aid,3205,3205,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501523,Park Valley Road Bridge,G.O. Bonds,1308,1133,175,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501523,Park Valley Road Bridge,Impact Tax,337,337,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501532,Bicycle-Pedestrian Priority Area Improvements,Current Revenue: General,375,309,66,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501532,Bicycle-Pedestrian Priority Area Improvements,G.O. Bonds,20910,9357,5092,6461,1112,1377,770,1036,1067,1099,0
2025,Approved,Transportation,Traffic Improvements,P501540,White Oak Local Area Transportation Improvement Program,Current Revenue: General,200,199,1,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P501540,White Oak Local Area Transportation Improvement Program,Local Area Transportation Impr Program (LATIP),101200,2,-2,0,0,0,0,0,0,0,101200
2025,Approved,Transportation,Traffic Improvements,P501540,White Oak Local Area Transportation Improvement Program,Recordation Tax Premium (MCG),150,0,150,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Parking,P501551,Parking Lot Districts Service Facility,Current Revenue: Parking - Silver Spring,4770,4720,50,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501603,Purple Line,G.O. Bonds,28717,26965,1342,410,130,140,140,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501603,Purple Line,Recordation Tax Premium (MCG),8000,8000,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501603,Purple Line,PAYGO,5351,5351,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501603,Purple Line,Impact Tax,2254,2254,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501603,Purple Line,G.O. Bond Premium,10000,10000,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501701,Dennis Ave Bridge M-0194 Replacement,Federal Aid,6510,0,0,6510,3472,3038,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501701,Dennis Ave Bridge M-0194 Replacement,G.O. Bonds,4060,313,676,3071,2016,1055,0,0,0,0,0
2025,Approved,Transportation,Bridges,P501701,Dennis Ave Bridge M-0194 Replacement,Intergovernmental,300,0,0,300,300,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501733,Bradley Boulevard (MD 191) Improvements,G.O. Bonds,18254,409,572,0,0,0,0,0,0,0,17273
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501734,Franklin Avenue Sidewalk,G.O. Bonds,3300,925,2375,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501742,Life Sciences Center Loop Trail,Current Revenue: General,400,336,64,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501742,Life Sciences Center Loop Trail,G.O. Bonds,871,282,589,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501742,Life Sciences Center Loop Trail,Contributions,17144,0,0,17144,0,0,1000,9263,5185,1696,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501742,Life Sciences Center Loop Trail,Impact Tax,159,159,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501744,MD355-Clarksburg Shared Use Path,G.O. Bonds,4031,481,0,3550,1598,1952,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501744,MD355-Clarksburg Shared Use Path,State Aid,4196,725,1876,1595,883,712,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501744,MD355-Clarksburg Shared Use Path,Intergovernmental,496,72,0,424,424,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P501744,MD355-Clarksburg Shared Use Path,Recordation Tax Premium (MCG),191,191,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501801,Intelligent Transit System,Current Revenue: Mass Transit,7136,1689,1811,3636,1136,500,500,500,500,500,0
2025,Approved,Transportation,Mass Transit (MCG),P501801,Intelligent Transit System,Short-Term Financing,12100,8101,3999,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Mass Transit (MCG),P501801,Intelligent Transit System,State Aid,472,297,175,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Traffic Improvements,P501802,Bethesda Transportation Infrastructure Development,Current Revenue: General,200,145,55,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P506747,Sidewalk Program Minor Projects,G.O. Bonds,49940,22479,4073,23388,3240,4635,3708,3819,3934,4052,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P506747,Sidewalk Program Minor Projects,State Aid,76,76,0,0,0,0,0,0,0,0,0
2025,Approved,Transportation,Pedestrian Facilities/Bikeways,P506747,Sidewalk Program Minor Projects,Recordation Tax Premium (MCG),2264,2264,0,0,0,0,0,0,0,0,0
